,Optimal Height,Optimal Value,Scenario
392,[12. 12. 14. 14. 18. 19. 22.],10862547411.760607,1
393,[11. 11. 12. 15. 15. 15. 23.],8048798094.2711,1
394,[13. 13. 13. 17. 17. 25. 25.],15097683968.735996,1
395,[11. 11. 13. 14. 14. 21. 21.],6848713251.208704,1
396,[10. 13. 15. 17. 19. 19. 20.],5001819430.293386,1
397,[11. 13. 13. 15. 15. 18. 22.],6326283437.662295,1
398,[10. 10. 15. 18. 18. 18. 18.],3790882815.7237353,1
399,[12. 12. 13. 18. 18. 18. 24.],12476826459.305267,1
400,[11. 14. 17. 17. 17. 21. 26.],9200802004.99463,1
401,[11. 11. 11. 17. 19. 19. 19.],8311211185.842252,1
402,[11. 11. 13. 13. 17. 21. 21.],8411883751.674315,1
403,[12. 12. 13. 17. 23. 23. 23.],11158139702.832005,1
